sys.exec.out.time {s},dyn.satellite.pos[0] {m},dyn.satellite.pos[1] {m},dyn.satellite.pos[2] {m},dyn.satellite.Rtrans[0][0] {--},dyn.satellite.Rtrans[0][1] {--},dyn.satellite.Rtrans[0][2] {--},dyn.satellite.Rtrans[1][0] {--},dyn.satellite.Rtrans[1][1] {--},dyn.satellite.Rtrans[1][2] {--},dyn.satellite.Rtrans[2][0] {--},dyn.satellite.Rtrans[2][1] {--},dyn.satellite.Rtrans[2][2] {--},dyn.satellite.vel[0] {m/s},dyn.satellite.vel[1] {m/s},dyn.satellite.vel[2] {m/s},dyn.satellite.force[0] {kg*m/s2},dyn.satellite.force[1] {kg*m/s2},dyn.satellite.force[2] {kg*m/s2},dyn.satellite.torque[0] {kg*m2/s2},dyn.satellite.torque[1] {kg*m2/s2},dyn.satellite.torque[2] {kg*m2/s2},dyn.satellite.main_engine.on {--},dyn.satellite.thruster_B1.on {--},dyn.satellite.thruster_B2.on {--},dyn.satellite.thruster_B3.on {--},dyn.satellite.thruster_B4.on {--},dyn.satellite.thruster_L1.on {--},dyn.satellite.thruster_L2.on {--},dyn.satellite.thruster_L3.on {--},dyn.satellite.thruster_L4.on {--},dyn.satellite.thruster_R1.on {--},dyn.satellite.thruster_R2.on {--},dyn.satellite.thruster_R3.on {--},dyn.satellite.thruster_R4.on {--},dyn.satellite.thruster_T1.on {--},dyn.satellite.thruster_T2.on {--},dyn.satellite.thruster_T3.on {--},dyn.satellite.thruster_T4.on {--}
                   0,             6867500,                   0,                   0,                   0,                   0,                   1,                   1,                   0,                   0,                   0,                   1,                   0,                   0,   7618.349417250431,                   0,  -8451.292004851834,                   0,                   0,                   0,                   0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                 0.1,    6867499.95774354,   761.8349401624926,                   0,                   0,                   0,                   1,                   1,                   0,                   0,                   0,                   1,                   0, -0.8451291987517933,   7618.349370373914,                   0,  -8451.291952850128, -0.9375303286799067,                   0,                   0,                   0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                 0.2,   6867499.830974161,   1523.669870949682,                   0,                   0,                   0,                   1,                   1,                   0,                   0,                   0,                   1,                   0,  -1.690258387103246,   7618.349229744365,                   0,  -8451.291796845026,  -1.875060646783819,                   0,                   0,                   0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                 0.3,   6867499.619691864,   2285.504782986265,                   0,                   0,                   0,                   1,                   1,                   0,                   0,                   0,                   1,                   0,  -2.535387554654019,   7618.348995361785,                   0,  -8451.291536836528,  -2.812590941812837,                   0,                   0,                   0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                 0.4,   6867499.323896651,   3047.339666896938,                   0,                   0,                   0,                   1,                   1,                   0,                   0,                   0,                   1,                   0,  -3.380516691003772,   7618.348667226178,                   0,  -8451.291172824629,   -3.75012120222951,                   0,                   0,                   0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                 0.5,   6867498.943588527,     3809.1745133064,                   0,                   0,                   0,                   1,                   1,                   0,                   0,                   0,                   1,                   0,  -4.225645785752165,   7618.348245337545,                   0,  -8451.290704809335,  -4.687651416496388,                   0,                   0,                   0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                 0.6,   6867498.478767496,   4571.009312839347,                   0,                   0,                   0,                   1,                   1,                   0,                   0,                   0,                   1,                   0,  -5.070774828498859,   7618.347729695895,                   0,  -8451.290132790657,   -5.62518157307603,                   0,                   0,                   0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                 0.7,   6867497.929433563,   5332.844056120479,                   0,                   0,                   0,                   1,                   1,                   0,                   0,                   0,                   1,                   0,  -5.915903808843518,   7618.347120301233,                   0,  -8451.289456768605,  -6.562711660430993,                   0,                   0,                   0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                 0.8,   6867497.295586736,   6094.678733774494,                   0,                   0,                   0,                   1,                   1,                   0,                   0,                   0,                   1,                   0,  -6.761032716385801,   7618.346417153566,                   0,  -8451.288676743174,  -7.500241667023817,                   0,                   0,                   0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                 0.9,   6867496.577227022,   6856.513336426092,                   0,                   0,                   0,                   1,                   1,                   0,                   0,                   0,                   1,                   0,  -7.606161540725374,   7618.345620252902,                   0,  -8451.287792714385,  -8.437771581317071,                   0,                   0,                   0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
