sys.exec.out.time {s},crewModule.dyn.position[0] {m},crewModule.dyn.position[1] {m},crewModule.dyn.position[2] {m},crewModule.dyn.center_of_buoyancy[0] {1},crewModule.dyn.center_of_buoyancy[1] {1},crewModule.dyn.center_of_buoyancy[2] {1},crewModule.dyn.R[0][0] {--},crewModule.dyn.R[0][1] {--},crewModule.dyn.R[0][2] {--},crewModule.dyn.R[1][0] {--},crewModule.dyn.R[1][1] {--},crewModule.dyn.R[1][2] {--},crewModule.dyn.R[2][0] {--},crewModule.dyn.R[2][1] {--},crewModule.dyn.R[2][2] {--}
0,0,0,3,0,0,3,1,0,0,0,-0.5,  0.8660254037844387,0,-0.866025404,-0.5
0.1,0,0,   2.951125806451613,0,0,2.95095,1,0,0,0,-0.5,  0.8660254037844388,0,-0.866025404,-0.5
0.2,0,0,   2.805722569269615,0,0,   2.805552393340271,1,0,0,0,-0.5,  0.8660254037844388,0,-0.866025404,-0.5
0.3,0,0,2.565855054,0,0,2.565688525,1,0,0,0,-0.5,  0.8660254037844388,0,-0.866025404,-0.5
0.4,0,0,   2.233543868672492,0,0,   2.233380901933867,1,0,0,0,-0.5,  0.8660254037844388,0,-0.866025404,-0.5
0.5,0,0,   1.810856499201351,3.183917932615815e-16,  0.3355279503105596,-0.130748614,1,-2.23E-24,4.903912007417505e-20,-4.25E-20,-0.500052591,  0.8659950382157994,2.452020482534007e-20,-0.865995038,-0.500052591
0.6,0,0,   1.313419858139043,3.128146231235056e-17,0.042357274,-0.32089226,1,-1.72E-20,3.009810712910249e-17,-2.61E-17,-0.501133964,0.865369719,1.506832331405788e-17,-0.865369719,-0.501133964
0.7,0,0,  0.7865762170366847,1.082002529513549e-15,-0.11137158,-0.497161639,1,-1.09E-19,1.782162520534039e-16,-1.54E-16,-0.502535684,  0.8645564676988514,8.946588917680359e-17,-0.864556468,-0.502535684
0.8,0,0,  0.2956404979853315,-6.60E-18,-0.191955401,-0.769625413,1,1.754897878761351e-18,4.336063460818513e-16,-3.75E-16,-0.497959101,  0.8672005154302593,2.174400745271267e-16,-0.867200515,-0.497959101
0.9,0,0,-0.096734249,-0.000121951,-0.256252345,-0.957338086,  0.9999999999890232,-4.38E-08,-4.69E-06,4.096532168442804e-06,-0.477174732,  0.8788084402656191,-2.27E-06,-0.87880844,-0.477174732
1,0,0,-0.34523492,-0.000214045,-0.309475591,-1.060495775,  0.9999999996694047,-7.84E-07,-2.57E-05,2.287276639722127e-05,-0.429547021,  0.9030444928708407,-1.17E-05,-0.903044493,-0.429547021
1.1,0,0,-0.426664825,-0.000209155,-0.355928727,-1.087354338,  0.9999999974167894,-5.22E-06,-7.17E-05,6.549264764121559e-05,-0.344791934,  0.9386791346011021,-2.96E-05,-0.938679137,-0.344791933
1.2,0,0,-0.340524833,-0.000356506,-0.398956567,-1.035973617,  0.9999999899095015,-1.98E-05,-0.000140671,0.000133156,-0.214300112,  0.9767678558874106,-4.95E-05,-0.976767865,-0.214300107
1.3,0,0,-0.108864971,-0.000533908,-0.430658658,-0.897629296,  0.9999999714808859,-5.34E-05,-0.000232791,0.000230764,-0.035275477,  0.9993776000280866,-6.15E-05,-0.999377625,-0.035275464
1.4,0,0,  0.2257598076694451,-0.000223231,-0.459691941,-0.780164623,  0.9999999335831137,-0.000117329,-0.000345062,0.000360736,  0.1835679185127989,  0.9830069629255784,-5.20E-05,-0.983007022,0.183567949
1.5,0,0,  0.6005909211135451,4.493643739492979e-17,-0.568665684,-0.564101689,  0.9999998787610433,-0.00021584,-0.000442596,0.000492306,  0.4188748439635395,  0.9080438440507254,-1.06E-05,-0.908043952,  0.4188748994514747
1.6,0,0,  0.9603856513163694,-0.000359712,-0.881942446,-0.382104961,  0.9999998139994009,-0.000343139,-0.000504239,0.000606786,  0.6434007099314595,  0.7655293320645274,6.174419688517166e-05,-0.765529496,  0.6434007984859087
1.7,0,0,   1.260649243211942,0.000965665,-1.42639485,-0.140292598,  0.9999997449564312,-0.000487187,-0.000522241,0.000695913,  0.8290954993012616,  0.5591065808201661,0.000160598,-0.559106802,  0.8290956269020858
1.8,0,0,1.468177745,0,0,   1.466396573419714,  0.9999996792278741,-0.000629546,-0.000495193,0.000752066,  0.9507091262303342,  0.3100832012173531,0.000275573,-0.310083474,  0.9507092947409974
1.9,0,0,   1.573827411413029,0,0,   1.573641757932848,  0.9999996209409002,-0.000755856,-0.000432203,0.000774355,0.999007433,0.044537046,0.00039811,-0.044537364,  0.9990076399747631
2,0,0,   1.579642756424825,0,0,   1.579466739120134,  0.9999995736813853,-0.000858268,-0.000340606,0.000763798,  0.9761260887394321,-0.217203305,0.000518893,  0.2172029517696896,  0.9761263281330061
2.1,0,0,   1.487759232223278,0,0,   1.487587001139401,  0.9999995397995824,-0.00093169,-0.000228811,0.000723641,  0.8891034007869708,-0.457705822,0.000629876,  0.4577054453059854,  0.8891036658096508
2.2,0,0,   1.301821774264295,0.002445415,   1.271353711790428,-0.238612385,  0.9999995203972386,-0.000973539,-0.000106893,0.000658647,  0.7492651119057325,-0.662269853,0.000724837,  0.6622694650229674,  0.7492653937435562
2.3,0,0,   1.037784957541451,0.00128667,  0.8143849716933348,-0.398986518,0.999999516,-0.000983958,2.467169179278719e-05,0.00058689,0.575960757,-0.817477132,0.000790153,  0.8174767508167458,  0.5759610555271298
2.4,0,0,  0.7266604595404216,0.000448619,  0.5592177204541797,-0.566317602,  0.9999995222165377,-0.000964799,0.000157256,0.000524076,  0.3933415857072236,-0.919392257,0.000825174,  0.9193919001796744,  0.3933419033554427
2.5,0,0,  0.4052037103917249,0.000237313,0.448776926,-0.717973241,  0.9999995343161791,-0.000926027,0.000271739,0.000469554,  0.2208637130569911,-0.975304568,0.000843141,  0.9753042411111588,  0.2208640449720356
2.6,0,0,  0.1153741596603711,2.608412129127567e-05,  0.4380045647213131,-0.827478566,  0.9999995434304552,-0.000878625,0.000375708,0.000439648,0.073943635,-0.997262325,0.000848439,  0.9972620351932807,0.073943988
2.7,0,0,-0.099066723,-7.65E-05,  0.4198011146322921,-0.934210723,  0.9999995501887404,-0.000833646,0.000452389,0.000423789,-0.033993522,-0.999421963,0.000848543,  0.9994217055483791,-0.033993153
2.8,0,0,-0.207321773,-0.000473395,  0.4230496118158806,-0.941111421,  0.9999995747860309,-0.000804712,0.000450407,0.00037056,-0.096605907,-0.995322642,0.00084446,  0.9953223855276789,-0.096605568
2.9,0,0,-0.190375801,-9.96E-06,  0.4087965730224776,-0.980575809,  0.9999996126560651,-0.000798215,0.000370865,0.000279575,-0.111472223,-0.993767511,0.000834581,  0.9937672294754746,-0.111471957
3,0,0,-0.053779935,-5.89E-05,  0.4057384508323975,-0.899694153,  0.9999996459914371,-0.000807071,0.00023802,0.0001715,-0.081442434,-0.996678033,0.000823775,  0.9966777205211623,-0.081442267
3.1,0,0,  0.1828290399147562,-0.000347859,0.400955031,-0.775576732,  0.9999996632170454,-0.0008174,7.364575244721076e-05,6.429318563535335e-05,-0.011435988,-0.999934605,0.000818188,  0.9999342728529322,-0.011435932
3.2,0,0,  0.4829385403235037,0.000449305,  0.4002797558494794,-0.652625011,  0.9999996621594569,-0.000815712,-0.000101465,-2.77E-05,0.08989916,-0.995950872,0.000821531,  0.9959505387660649,0.089899107
3.3,0,0,  0.8022780476927718,0.000299513,  0.4106826407088034,-0.526779068,  0.9999996504040898,-0.00079285,-0.000265669,-9.19E-05,  0.2115341112313718,-0.977370611,0.000831107,  0.9773702937852741,  0.2115339643295057
3.4,0,0,   1.099151540205869,0.001995163,  0.5188230552196761,-0.414878564,  0.9999996303418641,-0.000745565,-0.000428309,-0.00014686,  0.3427078204068892,-0.93944203,0.0008472,  0.9394417459131482,0.342707584
3.5,0,0,   1.343484708342491,0.001291585,  0.7264579256360486,-0.341437645,  0.9999996124507664,-0.000672288,-0.000568442,-0.000180005,  0.4758979884613198,-0.879500467,0.000861798,  0.8795002288838846,  0.4758976829673838
3.6,0,0,   1.512800255862089,3.522456659589794e-16,   1.019840566873355,-0.257848062,  0.9999995996038666,-0.000576592,-0.000684349,-0.000197511,  0.6036740129452022,-0.797231238,0.000872801,0.797231054,  0.6036736573144242
3.7,0,0,   1.594659516798566,0.001292407,   1.309693053311793,-0.103670941,  0.9999995855266501,-0.00046282,-0.000784056,-0.000211724,  0.7193419446654611,-0.694656118,0.000885505,  0.6946559957579123,0.719341548
3.8,0,0,   1.583556260690769,9.618422130192825e-16,   1.680000000000001,-0.038485303,  0.9999995715794499,-0.000335125,-0.000862863,-0.000222597,  0.8177472000825053,-0.575577508,0.000898494,  0.5755774530404014,  0.8177467751184625
3.9,0,0,   1.476561265704859,0,0,   1.476140305766315,  0.9999995580442511,-0.000199795,-0.000918691,-0.000230354,  0.8953060839637307,-0.445451415,0.000911509,  0.4454514295625413,  0.8953056422342884
4,0,0,1.274283117,0,0,1.27411424,  0.9999995442067883,-6.14E-05,-0.000952791,-0.000235932,  0.9510768940462196,-0.308954181,0.000925161,  0.3089542649587306,0.951076446
4.1,0,0,  0.9787572571918075,0,0,  0.9785928696606518,  0.9999995303990101,7.661311199100883e-05,-0.000966091,-0.000239376,  0.9855087067372612,-0.169624679,0.000939096,  0.1696248303624267,  0.9855082622734197
4.2,0,0,  0.5931946295482746,0.005413732,  0.1578345070422637,-0.076182736,  0.9999995181265462,0.000211744,-0.000958599,-0.000240715,0.999540108,-0.030323499,0.000951737,0.030323715,  0.9995396773148975
4.3,0,0,  0.1477852395828296,0.000291758,-0.29589455,-0.28041446,  0.9999995676857011,0.000336972,-0.000866648,-0.000244299,  0.9944941616392878,  0.1047917113907762,0.000897188,-0.104791454,  0.9944938140307333
4.4,0,0,-0.283843854,0.000781723,-0.249303115,-0.537584849,0.999999662,0.000430113,-0.000701249,-0.000264574,  0.9752941520121601,0.220910043,0.00077894,-0.220909783,  0.9752939358013768
4.5,0,0,-0.627385826,0.000102977,-0.18458921,-0.716252897,  0.9999997657762895,0.000486135,-0.000481789,-0.000312534,  0.9505848711171617,  0.3104646600167205,0.000608909,-0.310464437,0.9505848
4.6,0,0,-0.826604879,-1.61E-05,-0.181209999,-0.844106861,  0.9999998365754621,0.000511686,-0.000255004,-0.000379126,  0.9273812706577439,0.374117408,0.000427916,-0.37411725,  0.9273813130967514
4.7,0,0,-0.856851673,-0.00021441,-0.210303815,-0.890321697,  0.9999998643097604,0.000518373,-5.17E-05,-0.000451034,  0.9111703704291393,  0.4120295530898688,0.00026067,-0.412029474,  0.9111704805963663
4.8,0,0,-0.720871265,-0.000391415,-0.248638651,-0.805114495,0.99999986,0.000518371,0.000101697,-0.000512728,  0.9061245779392321,0.423010622,0.000127126,-0.423010615,  0.9061247172979217
4.9,0,0,-0.440574338,-0.000274725,-0.351405325,-0.678771434,  0.9999998474884193,0.000521479,0.000181888,-0.00055046,  0.9143040242249021,  0.4050282067613615,4.491306879250844e-05,-0.405028245,  0.9143041718403091
5,0,0,-0.063527646,-0.000404355,-0.525863142,-0.508969828,  0.9999998378297255,0.000532265,0.000202569,-0.000569509,  0.9350631666439043,  0.3544806765365547,-7.37E-07,-0.354480734,  0.9350633181384955
5.1,0,0,  0.3457910464385787,3.164329678438764e-15,-0.759077853,-0.288293446,  0.9999998336449878,0.000549327,0.000175924,-0.000576432,  0.9627705053838457,  0.2703194807666578,-2.09E-05,-0.270319537,0.962770662
5.2,0,0,  0.7201194155174022,2.39794264274947e-16,-0.840427928,-0.114340908,0.999999832,0.000566295,0.000125432,-0.000579106,  0.9869351939781051,  0.1611166891400032,-3.26E-05,-0.161116735,  0.9869353559111173
5.3,0,0,   1.005083439430861,0,0,   1.003513231565549,  0.9999998307713296,0.000577605,6.94930588334143e-05,-0.000580186,0.99894623,0.045892178,-4.29E-05,-0.045892211,  0.9989463965349381
5.4,0,0,   1.186754782854053,0,0,1.186567474,  0.9999998303470202,0.000582329,1.408757383985125e-05,-0.000580079,  0.9977554799871819,-0.06696018,-5.30E-05,0.06696016,  0.9977556485112016
